id	review	sentiment
94	hi everyone this is cool check out sexy and i know it﻿	1
95	"Check out our app to solve all your party/drunk problems! <br /><a href=""https://play.google.com/store/apps/details?id=vn.ibit.AppLocker&amp;hl=en"">https://play.google.com/store/apps/details?id=vn.ibit.AppLocker&amp;hl=en</a>﻿"	1
96	Check out this video on YouTube:it is a old track but it still bad﻿	1
97	Check out my youtube channel for cool beatboxing (:﻿	1
98	Check out this video on YouTube:﻿	1
99	Hi everyone! Do you like music? Then why not check out my music channel. The LEXIS band will be uploading their own songs and covers soon so don&#39;t miss out. Please SUBSCRIBE too as it does help us out a lot. Just takes one click. -&gt;﻿	1
100	SUBSCRIBE!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿	1
101	Ummm... I just hit 1k subscribers. I make Minecraft videos. Help me out by checking me out?﻿	1
102	SUP GUS THIS IS A VIDEO FOR PEOPLE WHO LOVES PARTY ROCK SO THANKS FOR WATCHING AND PLEASE SUBSCRIBE:)!!﻿	1
103	Hey Guys Jaylan Here And I Just Wanted Everybody To Know if Yall Can Subscribe Please That Would Be Great! This Is My New Gaming Channel (Have Not Uploaded Yet)But I Will Upload If I Hit About 10 Subs Thank You :D﻿	1
104	great l subscribe﻿	1
105	Check out this video on YouTube:jjiwajwkajajqjaubkm﻿	1
106	Check out this video on YouTube:﻿	1
107	3m subscribers but look at the views its 700 million wtf :P﻿	1
108	Check out this video on YouTube:﻿	1
109	Check out my YouTube channel I can rap﻿	1
110	Check out this video on YouTube:﻿	1
111	Check out this video on YouTu﻿	1
112	"LMFAO is CRAZY DOPE!!! CHeck out my music on my channel if you have a minute, it would mean a lot. Much love!!﻿"	1
113	Check out this video on YouTube:﻿	1
114	everyday i&#39;m subscribe﻿	1
115	man check out the raps on my channel im better rapper than these nigger fools﻿	1
116	go check out our video﻿	1
117	😼👍😏 Like This Comment 😏👍😼﻿	1
118	Check out this video on YouTube:﻿	1
119	Subscribe﻿	1
120	Check out this video on YouTube:<br />Looking for my wood pile...<br />Anyone seen it? Hmm?&#39;<br />How bout some pie now <br />Ladies?&#39;﻿	1
121	"HAHAA THIS DANCE IS TIGHTTTT<br /><br />I know y&#39;all &quot;…ain&#39;t got time for MY demo man&quot;  but check out some of my stuff<br /><br />Slappers on slappers on bangers! Click that link below to peep game! ENJOY. <br /><br /><a href=""https://soundcloud.com/rocc-steady/wave-emoji-prod-by-nippylongbottom-cyber-punk"">https://soundcloud.com/rocc-steady/wave-emoji-prod-by-nippylongbottom-cyber-punk</a>﻿"	1
122	Check out my music niggas﻿	1
123	Check out this video on YouTube:﻿	1
124	Check out this funny video &quot;Cereal Box Knocks out Baby&quot; on my channel.﻿	1
125	Subscribe to me if u think &quot;swag&quot; is fucking stupid﻿	1
126	Tuto to subscribe to my channel because you should sign up for 17 l please thank you I&#39;d do anything for you to sign up a lot of good video I usually do!﻿	1
127	Abomination! Subscribe if you agree :| party here in my channel. cool lights.﻿	1
128	"Like this comment, guys i just started up a new channel if i can get 200 subscribers by tonight ill do a $20 paypal giveaway like this comment so your friends can see it or others and they can also be entered GO !!!﻿"	1
129	"Check out: My Hood Doh, by Flixter Nossnevs﻿"	1
130	Nezo and Ed<br />Like&amp;share this page on facebook please ﻿	1
131	"Hey I&#39;m a British youtuber!!<br />I upload Weekly!! <br />It would mean the world if you could subscribe!!<br />Thanks,Joyce!!<br />﻿"	1
132	Subscribe to my channel !﻿	1
133	"hi guys please check out my vids , i will promos to subscribe to you to﻿"	1
134	Hey plz check out my music video. Thanks!! :-)﻿	1
135	Check the shit out on my channel<br /><br /><br />SUBSCRIBE YOU WILL LIKE IT﻿	1
136	Good video﻿	0
137	very good song:)﻿	0
138	every bady yust have a good time﻿	0
139	 are  there  people who like  this shit? hahahahah :P<br />this isn&#39;t even real music.......... it&#39;s computer-based music.....<br />well done music industry.....﻿	0
140	i love this song so much!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿	0
141	No one makes me wanna party like LMFAO does... I just wanna rage every time one of these songs comes on. The only other band that does that is &quot;On the Rocks Inc.&quot; those kids know how to party﻿	0
142	The best song ever!﻿	0
143	The best song ever!﻿	0
144	"check it out free stuff for watching videos and filling surveys<br /><br /><a href=""http://www.prizerebel.com/index.php?r=1446084"">http://www.prizerebel.com/index.php?r=1446084</a>﻿"	1
145	Love your song makes me happy﻿	0
146	OOOOO SHUFFLLLLLLLLLLLLLLLLLLLLLLINNNNN﻿	0
147	awesome﻿	0
148	I learned the shuffle because of them﻿	0
149	The best Song i saw ❤️❤️❤️❤️❤️❤️❤️❤️😍😍😍😍😍😍😍😘😘😘😘😘😘😘😘﻿	0
150	watch this with sound off!﻿	0
151	Looooooooove this song!!!!!!!!!:))))))﻿	0
152	EVERYONE PLEASE SUBSCRIBE TO MY CHANNEL OR CAN YOU ALL JUST GO LOOK AT MY VIDEOS ﻿	1
153	EVERYONE PLEASE SUBSCRIBE TO MY CHANNEL OR CAN YOU ALL JUST GO LOOK AT MY VIDEOS ﻿	1
154	EVERYONE PLEASE GO SUBSCRIBE TO MY CHANNEL OR JUST LOON AT MY VIDEOS﻿	1
155	Like this comment for no reason﻿	1
156	love this song﻿	0
157	this song is awesome. these guys are the best. love this video too its hilarious lol. im getting popular fast because i rap with meaning. thumbs up if you piss next to the water in the toilet so it doesnt make noise﻿	1
158	HOW MANY THUMBS UP FOR LOUIS SAVING THE DAY!?!?﻿	1
159	NICE :3﻿	0
160	+447935454150 lovely girl talk to me xxx﻿	1
161	I always end up coming back to this song<br />﻿	0
162	"my sister just received over 6,500 new <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23active"">#active</a> youtube views Right now. The only thing she used was pimpmyviews. com﻿"	1
163	Cool﻿	0
164	Hello I&#39;am from Palastine﻿	1
165	Wow this video almost has a billion views! Didn&#39;t know it was so popular ﻿	0
166	Go check out my rapping video called Four Wheels please ❤️﻿	1
167	Almost 1 billion﻿	0
168	Aslamu Lykum... From Pakistan﻿	1
169	Eminem is idol for very people in España and Mexico or Latinoamerica﻿	0
170	Help me get 50 subs please ﻿	1
171	i love song :)﻿	0
172	"Alright ladies, if you like this song, then check out John Rage.  He&#39;s a smoking hot rapper coming into the game.  He&#39;s not better than Eminem lyrically, but he&#39;s hotter. Hear some of his songs on my channel.﻿"	1
173	The perfect example of abuse from husbands and the thing is I&#39;m a feminist so I definitely agree with this song and well...if I see this someone&#39;s going to die! Just sayin.﻿	0
174	The boyfriend was Charlie from the TV show LOST ﻿	0
175	"<a href=""https://www.facebook.com/groups/100877300245414/"">https://www.facebook.com/groups/100877300245414/</a>﻿"	1
176	Take a look at this video on YouTube:﻿	1
177	Check out our Channel for nice Beats!!﻿	1
178	Rihanna and Eminem together are unstoppable.﻿	0
179	Check out this playlist on YouTube:﻿	1
180	This song is about Rape and Cheating     <br /><br /><br /><br /><br /><br /><br /><br /><br /><br />Basically.....﻿	0
181	like please﻿	1
182	"I love this song, can&#39;t believe it was 5 years ago, it doesn&#39;t get old though﻿"	0
183	OMG that looks just like a piece of the mirror of harry potter and the deathly hallows.<br />Either that house. (sirius black)﻿	0
184	"I shared my first song &quot;I Want You&quot;, and I hope you&#39;ll like it. Take a listen!✌️😊 <a href=""https://youtu.be/-YfUY4gKr1c"">https://youtu.be/-YfUY4gKr1c</a>﻿"	1
185	Come and check out my music!Im spamming on loads of videos but its just to try and get my music across to new people﻿	1
186	Check out this playlist on YouTube:﻿	1
187	HUH HYUCK HYUCK IM SPECIAL WHO&#39;S WATCHING THIS IN 2015 IM FROM AUSTRALIA OR SOMETHING GIVE ME ATTENTION PLEASE IM JUST A RAPPER WITH A DREAM IM GONNA SHARE THIS ON GOOGLE PLUS BECAUSE IM SO COOL.﻿	1
188	"You exactly who u want to be,watching your favourite rappers on tv﻿"	0
189	Rihanna is absolutely gorgeous in this video.﻿	0
190	Check out this video on YouTube:<br /><br />Love this song... It&#39;s all good will never go back that but I&#39;ll always remember the passion but never want to go back to being dysfunctional insanity....... Goal is to live happy not live insane. ﻿	1
191	"Don&#39;t love someone soo much, love the way u lie..﻿"	0
192	one of the BEST SONGS in music history﻿	0
193	Check out this playlist on YouTube:﻿	1
194	Check out this video on YouTube:﻿	1
195	Check out this video on YouTube:﻿	1
196	No-I hate The Way U LIe!!﻿	0
197	Fuck Eminem. Bieber is the best &lt;3﻿	0
198	Check out this playlist on YouTube:chcfcvzfzfbvzdr﻿	1
199	Check out this playlist on YouTube: ﻿	1
200	Im gonna share a little ryhme canibus blows eminem away a quadrillion times especially about the categories of intelligent things in his mind. That he learned and rapped about and forgot before eminem spit his first ryme.luv ya linz 4e﻿	1
201	Check out this video on YouTube:﻿	1
202	Check out this video on YouTube<br /><br /><br />﻿	1
203	CHECK OUT THE NEW REMIX !!!<br />CLICK CLICK !!﻿	1
204	Check out this playlist on YouTube:﻿	1
205	I personally have never been in a abusive relationship. I probably never will. I don&#39;t hit women. Mom has my dad used to hit my mom before he left. I can relate I&#39;m writing about one at the moment subscribe to hear it. EVERY fan counts.﻿	1
206	Love😘❤💖﻿	0
207	"Haha, I can&#39;t believe how many kids listen to Eminem.  You kids know that he does drugs and ends high in jail. I wonder why he never ended OD. ﻿"	0
208	plese subscribe to me﻿	1
209	Check out this video on YouTube:﻿	1
210	"Aye homies check out our remix to 50 Cent Your Life Is On The Line we just started our youtube channel and we are all ways working hard, give us some feed back on our latest song on what you guys think if you like show support.﻿"	1
211	this is the 2nd most best song when im gone by m&amp;m﻿	0
212	Check out this video on YouTube:﻿	1
213	"WE GO FOR 1,000,000,000 FOR EMINEM﻿"	0
214	Eminem and Rihanna sing the song very well.﻿	0
215	Subscribe me Secret videos :D﻿	1
216	Check out this video on YouTube:﻿	1
217	Check out this video on YouTube:but I&#39;m not Rhinnah﻿	1
218	Subscribe to me for clean Eminem!	1
219	" Hey youtubers... {**}I really appreciate all of you who took the time, to read this, I am just a 19 year old boy who wants to be a successful musician in the           music world. {**}I dont have any money to advertise my channel, {**}If you could just visit my channel, comment on my video or subscribe, that would be great.... {**}It will only be few seconds of your life..... {**}Thank u to all the people who just gave me a chance l really appreciate it "	1
220	LOVE THE WAY YOU LIE ..&quot;﻿	0
221	Check out this video on YouTube:﻿	1
222	This guy win dollars sleeping... m m m he loves the planet its full of RETARDS	1
223	Check out our cover of this song!	1
224	Check out this video on YouTube:﻿	1
225	goot﻿	0
226	2015 but Im still listening to this!﻿	0
227	"How is this the most watched Eminem video, it beats not afraid? ﻿"	0
228	Check out my channel for funny skits! Thanks!	1
229	hahahahah ♥♥♥♥ :D like vines ?  Subscribe to me for daily vines	1
230	please read this please! i am a country singer who is trying to become someone. so if you would like my videos please. just type... boys round here by country girl (only on computer) wasting all these tears e.t. please subscribe and like	1
231	Check out this video on YouTube:﻿	1
232	"GUYS SHARE THIS VIDEO!!!!!  HE must have 1.000.000.000 views  Share on Facebook, groups, pages!!"	1
233	CHECK OUT Eminem - Rap God LYRIC VIDEO	1
234	Love this song﻿	0
235	"Rihana, Love Me. :(﻿"	0
236	like this comment then type 1337	1
237	Is that Charlie from lost?<br />﻿	0
238	who the fuck cheats on megan fox﻿	0
239	that is megan fox﻿	0
240	I love music﻿	0
241	like this comment then type 1337	1
242	❤❤❤❤❤❤❤﻿	0
243	"hot,hot﻿"	0
244	Check out this video on YouTube:﻿	1
245	"Wow justin Bieber is Better  thats why when he buys medication he always shares with his half wited money alfred but sadly enough he is an attention hog with swamp ass and an eating disorder filled with sassy mice, and flaming hot cheetos that he can eat with the power of the samurman."	1
246	this fucking song like a&#39;n oreo the only white part is the good 1﻿	0
247	"no where near one of eminems actual best songs, real fans know what im talking about: Untitled, cold wind blows, welcome 2 hell, elevator, business, wtp, almost famous, 25 to life, rock bottom, no apologies, same song and dance, without me, way i am, toy soldiers, mosh and insane &lt; songs off the top of my head that&#39;s better﻿"	0
248	"Finally someone shares the same opinion as me. I&#39;ve tried really hard to like Gangnam style but I just can&#39;t, I don&#39;t even get the dance either. A song like this should be more popular than Gangnam Style, at least it makes sense."	1
249	Check Out The New Hot Video By Dante B Called Riled Up	1
250	Check Out The New Hot Video By Dante B Called Riled Up	1
251	"Still listening,still same pleasure﻿"	0
252	▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌ FACEBOOK PASSWORD HACK 2013! facebook-pass-hack2013.blogspot.com ONLY 100% WORKING SOFTWARE FOR HACKING ANY FACEBOOK PASSWORD! It&#39;s FREE for download and breaks any password in 10-15 minutes! 100% virus free! For details and FREE DOWNLOAD please visit facebook-pass-hack2013.blogspot.com ▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌	1
253	I love you!❤✨﻿	0
254	2010? The time past so fast ..﻿	0
255	"Hey everyone, I&#39;m Dakoda Bigelow.  I&#39;m a 17 year old singer, rapper and producer.  I&#39;ve gained over 490,000 views so far but I really need more views, likes and subscribers in order to make it.  Check out my brand new music video for my song So Gone!  Also check out my new song called Deaf.  A few moments of your time would be greatly appreciated and you won&#39;t regret it :)  Please thumbs this up so more people can see it!  Thanks for the support."	1
256	#2015 FUCK YEAH﻿	0
257	eminem is a ginius stop!﻿	0
258	The rap: cool     Rihanna: STTUUPID﻿	0
259	Just gonna stand there and hear me cry ..﻿	0
260	Love﻿	0
261	Feels and emotions in this song...God damn﻿	0
262	all u should go check out j rants vi about eminem	1
263	MEGAN FOX AND EMINEM TOGETHER IN A VIDEO  DOESNT GET BETTER THAN THAT﻿	0
264	"Check out this video on YouTube: <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Eminem"">#Eminem</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Lovethewayyoulie"">#Lovethewayyoulie</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23RapGod"">#RapGod</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23King"">#King</a> ﻿"	1
265	"yo I know nobody will probably even read this..  But I’m gonna type it any way because i hope at least one person will  i&#39;m a rapper with a dream. I know there&#39;s like 200k of those in this world  but please check out my music and subscribe? if you want.? thanks,  I would love nothing more than to have a decent following on youtube..  if anyone? reading this could press the &quot;THUMBS UP&quot; other people will see it  just a simple button press? could make my dream come true =) Thank You"	1
266	best song﻿	0
267	 subscribe to my feed	1
268	"EVERYONE GO AND SHARE youtu  be/ARkglzjQuP0 ON FB,TWITTER,G+ TO VOTE FOR EMINEM TO BECOME ARTIST OF THE YEAR ON FIRST EVER YOUTUBE MUSIC AWARDS !!!  AND GET THIS METHOD TO CHEAT AT INTERNET ROULETTE OUT OF EMINEMS VIDEO ! SHADY ARTIST OF THE YEAR !"	1
269	Check out Em&#39;s dope new song monster here: /watch?v=w6gkM-XNY2M  MMLP2 FTW :)	1
270	  Check out my SEXY VIDEO :*	1
271	  Check out my SEXY VIDEO :*	1
272	Is that Charlie from lost?﻿	0
273	Anyone else notice that Megan Fox is in this video?﻿	0
274	Do you need more instagram followers or photo likes? Check out IGBlast.com and get em in minutes!	1
275	Check Out The New Hot Video By Dante B Called Riled Up	1
276	Check Out The New Hot Video By Dante B Called Riled Up	1
277	"yo I know nobody will probably even read this..  but, Imma type it any way because i hope at least one person will  i&#39;m a rapper with a dream. I know there&#39;s like 200k of those in this world  but please check out my music and subscribe? if you want.? thanks,  I would love nothing more than to have a decent following on youtube..  if anyone? reading this could press the &quot;THUMBS UP&quot; other people will see it  just a simple button press? could make my dream come true =) Thank You"	1
278	"youtube.com/watch?v=2ASFn9ShgHk&amp;feature=youtu.be  please check out my song. looking for feedback, and supporters."	1
279	WATCH MY VIDEOS AND SUBSCRIBE	1
280	:D subscribe to me for daily vines	1
281	LOVE IT!!!!!!!﻿	0
282	Hay dakota u earned a subscribee	1
283	"Listen...Check out Andrew Guasch - Crazy, Sick Flow...I&#39;m dope....that&#39;s all there is too it. If you like it Subscribe, if not, Ill be with Aftermath of TDE Soon enough.  One Love,  Peace."	1
284	Check Out The New Hot Video By Dante B Called Riled Up	1
285	I hate rap and I like this song﻿	0
286	Love the way you lie - Driveshaft﻿	0
287	2010:(﻿	0
288	"1,000,000 VIEWS NEAR﻿"	0
289	"You guys should check out this EXTRAORDINARY website called FIREPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at FIREPA.COM !   Visit FIREPA.COM and check it out!   Lake   . Chillpal . Sturdy . Astauand . Johackle . Chorenn . Ethosien . Changeable . Public . Noxu . Ploosnar . Looplab . Hoppler . Delicious . False . Scitenoa . Locobot . Heartbreaking . Thirsty . Reminiscent"	1
290	this song is NICE﻿	0
291	"You guys should check out this EXTRAORDINARY website called FIREPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at FIREPA.COM !   Visit FIREPA.COM and check it out!   Lake   . Busyglide . Sasaroo . Sore . Chillpal . Axiomatic . Naperone . Mere . Undesirable . Agreeable . Encouraging . Imperfect . Roasted . Insidious . Modgone . Quickest . Trelod . Keen . Fresh . Economic . Bocilile"	1
292	Sick Music for sick females﻿	0
293	"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Victorious . Luxuriant . Alcoholic . Responsible . Unbiased . Yoffa . Ociramma . Ociramma . Handsome . Arrowgance . Mizuxe . Boaconic . Sophisticated . Ill-fated . Spourmo . Chubby . Hioffpo . Probable . Singlewave"	1
294	LOVE TROP FORT VOTRE  clip﻿	0
295	"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Waratel . Misty . Exciting . Swoquix . Acaer . Chillpal . Tupacase . Arrowgance . Lively . Hard . Idiotic . Bored . Cool . Ablaze . Crabby . Aloidia . Cheilith . Feandra . Useless . Ploosnar"	1
296	"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Ignorant . Wavefire . Reiltas . Astauand . Skizzle . Jovaphile . Swooflia . Grynn . Excellent . Slimy . Gabby . Nalpure . Lucky . Glozzom . Depressed . Better . Deep . Sinpad . Stereotyped . Toximble"	1
297	Eminem et Rihana trop belle chanson﻿	0
298	this song is better then monster by eminem﻿	0
299	He is good boy!!!<br />I am krean I like to eminem~!~﻿	0
300	it is wonderful﻿	0
301	"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Magnificent . Noodile . Unequaled . Moderock . Gogopo . Lulerain . Olielle . Zesty . Laughable . Accidental . Pepelexa . Delightful . Wiry . Toogit . Uncovered . Chesture . Woozy . Adhoc . Weak . Shallow"	1
302	Share Eminem&#39;s Artist of the Year video so he can win. We could see a performance and acceptance speech. Like this comment so everyone can see.  2014 =  Year of Eminem	1
303	watch?v=ARkglzjQuP0 Like this comment and share this video so Em can win!!! #YTMA	1
304	Check out this video on YouTube:<br /><br />Eminem is amazing. ﻿	1
305	awesome song ever﻿	0
306	love﻿	0
